Action,Price,Shares Held,Balance,Portfolio Value,Transaction Cost,Reward,Slippage,Time Penalty
Buy,193.72,6045.963803903543,8813665.001772137,9984889.109864332,0.05679267521679932,-0.2954616752167925,0.06999999999999318,0.168669
Buy,193.72,6168.56613775372,8789105.022971092,9984079.655176742,0.035918841619856576,-0.2745878416198498,0.06999999999999318,0.168669
Buy,193.71,6393.555506037755,8746887.177769303,9985382.814843876,0.12442651726922235,-0.3730955172692064,0.07999999999998408,0.168669
Buy,193.71,6575.948858606982,8713107.05033339,9986934.103734149,0.2651676705228648,-0.47944867052284773,0.04999999999998295,0.164281
Buy,193.71,6762.023678258612,8678235.268040726,9988106.874756202,0.2651676705228648,-0.47953267052284776,0.04999999999998295,0.164365
Sell,193.75,6630.673989310475,8702894.970292617,9987588.055721521,0.1565666007899976,-0.3630266007899896,0.03999999999999204,0.16646
Sell,193.75,6490.283131788436,8731149.508447317,9988641.865231328,0.13911307540876636,-0.32424507540877656,0.020000000000010232,0.165132
Sell,193.75,6370.824675316869,8753729.397460047,9988076.67830269,0.025398456481766182,-0.1900304564817662,0.0,0.164632
Buy,193.69,6420.904475806129,8744270.757718353,9987935.745637242,0.08031697153504797,-0.2679839715350582,0.020000000000010232,0.167667
Buy,193.69,6622.412159843795,8706373.742473742,9989068.753713887,0.035918841619856576,-0.22358584161986683,0.020000000000010232,0.167667
Buy,193.69,6700.987420351618,8691623.217641419,9989537.471089324,0.025398456481766182,-0.21306545648177644,0.020000000000010232,0.167667
Buy,193.69,6771.558007197416,8678061.319090333,9989644.389504401,0.1163903493627353,-0.2817423493627353,0.0,0.165352
Sell,193.75,6629.926057240658,8705199.797740769,9989747.971331146,0.17959420809928286,-0.3697632080992931,0.020000000000010232,0.170169
Sell,193.76,6571.554817091396,8716499.084376216,9989803.545735845,0.08031697153504797,-0.26048597153506725,0.010000000000019327,0.170169
Sell,193.76,6523.383180960315,8726273.970942939,9990244.696085809,0.08031697153504797,-0.26048597153506725,0.010000000000019327,0.170169
Sell,193.76,6334.952578215998,8762424.948853971,9989885.360409103,0.08031697153504797,-0.26048597153506725,0.010000000000019327,0.170169
Sell,193.77,6256.832477865972,8777159.447612567,9989545.876848657,0.09157543716264867,-0.26174443716264867,0.0,0.170169
Sell,193.77,6098.716159618835,8807202.09748693,9988950.327736272,0.17959420809928286,-0.36976320809926466,0.01999999999998181,0.170169
Sell,193.79,6043.541822434128,8817653.276341148,9988831.246110657,0.05679267521679932,-0.22309567521679932,0.0,0.166303
Sell,193.79,5873.782187671292,8851497.663915211,9989777.914064031,0.17037802565039797,-0.3466810256504173,0.010000000000019327,0.166303
Sell,193.79,5668.496361737143,8891460.124090547,9989958.034031589,0.17959420809928286,-0.3542922080993022,0.010000000000019327,0.164698
Sell,193.79,5512.097138040178,8920569.846344559,9988759.150725365,0.05679267521679932,-0.23179767521681865,0.010000000000019327,0.165005
Sell,193.8,5433.000210746041,8935536.59401776,9988452.034860343,0.11358535043359864,-0.28040135043359865,0.0,0.166816
Sell,193.8,5329.8179633107675,8956478.11010956,9989396.831399187,0.07183768323971315,-0.23865368323971314,0.0,0.166816
Sell,193.8,5139.359327385714,8992125.175173817,9988133.012821168,0.06719799953564982,-0.26271999953565095,0.030000000000001137,0.165522
Sell,193.8,5034.203710019983,9013331.82523496,9988960.504236834,0.7745488236646147,-0.9689868236646159,0.030000000000001137,0.164438
Sell,193.8,4940.463850668849,9031779.997279204,9989241.891538827,0.025398456481766182,-0.2198224564817673,0.030000000000001137,0.164424
Sell,193.8,4875.269030740223,9044414.151079306,9989241.289236762,0.5679267521679933,-0.7627957521679944,0.030000000000001137,0.164869
Sell,193.8,4723.280166047554,9073121.074078906,9988492.770258922,0.4332652111258711,-0.6278912111258722,0.030000000000001137,0.164626
Sell,193.8,4548.184645649335,9108605.891614117,9990044.075940957,0.025398456481766182,-0.21982545648176732,0.030000000000001137,0.164427
Sell,193.8,4340.749275939015,9149989.980800599,9991227.19047758,0.11070930512593437,-0.3064093051259355,0.030000000000001137,0.1657
Sell,193.79,4116.357591357045,9194045.430580473,9991754.368209554,0.07183768323971315,-0.24670968323973247,0.010000000000019327,0.164872
Sell,193.79,4008.553601739426,9214725.415811796,9991543.01829288,0.164600810598123,-0.34026081059814234,0.010000000000019327,0.16566
Sell,193.8,3836.2802475503454,9247098.892493913,9990570.00446917,0.22858610833589563,-0.39424610833589563,0.0,0.16566
Sell,193.8,3641.456395595612,9284612.371894695,9990326.621361125,0.2711813073366294,-0.4667433073366305,0.030000000000001137,0.165562
Sell,193.8,3441.2793353102793,9323103.333683671,9990023.268866803,0.08031697153504797,-0.2758789715350491,0.030000000000001137,0.165562
Sell,193.8,3329.2316798160014,9344930.19401193,9990135.293560272,0.025398456481766182,-0.1896884564817662,0.0,0.16429
Sell,193.8,3106.982708523182,9389750.05841091,9991883.307322703,0.2527114512125655,-0.4180214512125655,0.0,0.16531
Sell,193.8,3012.4765609136884,9407558.141588217,9991376.09909329,0.025398456481766182,-0.1907084564817662,0.0,0.16531
Sell,193.8,2894.092915237969,9431480.227494406,9992355.434467524,0.07619536944529853,-0.24108236944529854,0.0,0.164887
Sell,193.8,2685.9482120003518,9472655.652662423,9993192.41614809,0.025398456481766182,-0.19016845648176617,0.0,0.16477
Sell,193.82,2611.7273996330287,9483600.292606106,9989805.29720298,0.025398456481766182,-0.2002574564817855,0.010000000000019327,0.164859
Sell,193.81,2538.483386681418,9498172.067071984,9990155.532244708,0.16654881699134141,-0.35100181699135163,0.020000000000010232,0.164453
Sell,193.83,2413.5736145009296,9523081.020484326,9990903.994183041,0.07619536944529853,-0.24217336944529852,0.0,0.165978
Sell,193.84,2322.434654299415,9540171.10807255,9990351.841461947,0.025398456481766182,-0.19137645648176616,0.0,0.165978
Sell,193.85,2112.9192867855445,9580945.145507382,9990534.54925076,0.08031697153504797,-0.24597397153504796,0.0,0.165657
Sell,193.85,2026.4407404844824,9597115.823031407,9989941.360574324,0.07619536944529853,-0.24185236944529853,0.0,0.165657
Sell,193.84,1820.3370089805173,9635421.197965445,9988275.323786229,0.025398456481766182,-0.19987145648175708,0.009999999999990905,0.164473
Sell,193.84,1748.0341497603329,9649476.912753267,9988315.85234281,0.025398456481766182,-0.20011845648175708,0.009999999999990905,0.16472
Buy,193.75,1946.2749105980242,9609409.980816664,9986500.744745031,0.0439914170602461,-0.30870541706024046,0.09999999999999432,0.164714
Buy,193.75,2173.089572244026,9567605.54338999,9988641.648012271,0.025398456481766182,-0.2901404564817605,0.09999999999999432,0.164742
Buy,193.68,2414.464206474219,9521690.85076713,9989324.278277056,0.2539845648176618,-0.5774305648176674,0.15000000000000568,0.173446
Buy,193.68,2612.728364588626,9483832.676927943,9989865.906581467,0.035918841619856576,-0.35936484161986226,0.15000000000000568,0.173446
Buy,193.68,2738.867319604345,9459311.989357067,9989775.811818037,0.08031697153504797,-0.40376297153505364,0.15000000000000568,0.173446
Buy,193.68,2871.1148615917086,9433072.150021505,9989149.676414587,0.08031697153504797,-0.40376297153505364,0.15000000000000568,0.173446
Buy,193.65,2925.9645363373006,9422277.859156122,9988890.89161784,0.025398456481766182,-0.378844456481773,0.18000000000000682,0.173446
Buy,193.65,3029.348396710011,9401502.690898038,9988136.007920932,0.13911307540876636,-0.4925590754087732,0.18000000000000682,0.173446
Buy,193.64,3258.370505848516,9358117.686205503,9989068.55095801,0.11358535043359864,-0.47703135043362477,0.19000000000002615,0.173446
Buy,193.67,3342.82655922811,9342261.660320865,9989666.880046573,0.025398456481766182,-0.2602564564817878,0.0700000000000216,0.164858
Buy,193.67,3571.036336750319,9298685.362091765,9990287.969430199,0.09157543716264867,-0.2572684371626487,0.0,0.165693
Buy,193.67,3665.1657415025406,9279707.244311238,9989539.893468035,0.10472051880197547,-0.31013651880199594,0.040000000000020464,0.165416
Buy,193.67,3820.048342113178,9248340.976554887,9988169.738971947,0.025398456481766182,-0.23081445648178667,0.040000000000020464,0.165416
Buy,193.65,3871.2098700701567,9238146.8841331,9987806.675472187,0.025398456481766182,-0.20032845648175707,0.009999999999990905,0.16493
Buy,193.65,4073.472253401005,9200153.04458053,9988980.946451634,0.025398456481766182,-0.20032845648175707,0.009999999999990905,0.16493
Buy,193.65,4280.9625024602055,9158532.714334404,9987541.102935823,0.025398456481766182,-0.1999354564817571,0.009999999999990905,0.164537
Buy,193.65,4505.983548088355,9114527.471567256,9987111.185654566,0.0439914170602461,-0.218634417060237,0.009999999999990905,0.164643
Buy,193.64,4658.165470252917,9085107.264445161,9987114.426104937,0.035918841619856576,-0.2110558416198759,0.010000000000019327,0.165137
Buy,193.63,4734.979777629622,9070729.808812944,9987563.943155367,0.11358535043359864,-0.3127973504335998,0.030000000000001137,0.169212
Buy,193.62,4939.6358559899245,9032177.702020029,9988589.996456798,0.11358535043359864,-0.3227973504335907,0.03999999999999204,0.169212
Buy,193.62,5152.090200945582,8992198.542491654,9989746.247198738,0.0439914170602461,-0.25320341706023813,0.03999999999999204,0.169212
Buy,193.62,5298.042882831957,8963829.077450464,9989636.140424388,0.025398456481766182,-0.2346104564817582,0.03999999999999204,0.169212
Buy,193.62,5504.949052055206,8925625.178218521,9991493.41367745,0.025398456481766182,-0.23897345648175822,0.03999999999999204,0.173575
Buy,193.62,5735.195010649567,8883182.140122864,9993630.598084833,0.025398456481766182,-0.23897345648175822,0.03999999999999204,0.173575
Buy,193.62,5834.342605183806,8864249.434738234,9993894.849953922,0.025398456481766182,-0.23897345648175822,0.03999999999999204,0.173575
Buy,193.62,6048.058338527896,8823799.441463143,9994824.496968914,0.08031697153504797,-0.29389197153504,0.03999999999999204,0.173575
Buy,193.62,6194.267094870291,8795583.547433235,9994917.54234202,0.08031697153504797,-0.29389197153504,0.03999999999999204,0.173575
Buy,193.62,6258.195928401566,8782629.959530344,9994341.855187455,0.17412304502230605,-0.33951304502230606,0.0,0.16539
Buy,193.62,6368.50013212706,8760702.883647535,9993771.879229976,0.0439914170602461,-0.20881141706024609,0.0,0.16482
Buy,193.62,6495.427056788564,8734942.900394578,9992587.487129979,0.025398456481766182,-0.19001645648176618,0.0,0.164618
Buy,193.62,6661.105022616968,8703593.961386563,9993317.11586566,0.17778919537236323,-0.3436591953723632,0.0,0.16587
Buy,193.62,6830.213200002507,8670457.399379864,9992923.27916435,0.2539845648176618,-0.4198545648176618,0.0,0.16587
Buy,193.62,6983.3545221493305,8640179.759324038,9992296.86190259,0.1813812591599934,-0.3472512591599934,0.0,0.16587
Buy,193.61,7114.418327460671,8615657.053880198,9993079.586259859,0.11358535043359864,-0.28957135043358956,0.009999999999990905,0.165986
Buy,193.61,7201.527255766342,8598543.348962277,9992831.040951198,0.025398456481766182,-0.20138445648175707,0.009999999999990905,0.165986
Buy,193.6,7433.224259179665,8555760.460875653,9994832.677452836,0.2539845648176618,-0.44053356481767203,0.020000000000010232,0.166549
Buy,193.6,7569.589655580956,8529222.420516456,9994694.97783693,0.26394850236147654,-0.4504975023614868,0.020000000000010232,0.166549
Buy,193.6,7630.308953906601,8517317.53225106,9994545.345727379,0.13911307540876636,-0.3237960754087766,0.020000000000010232,0.164683
Buy,193.6,7820.240190699653,8481118.35708744,9995116.858006895,0.38182252384359744,-0.5660875238436076,0.020000000000010232,0.164265
Buy,193.6,8039.546657356842,8439671.913544014,9996128.146408299,0.2961943558970008,-0.48193835589701106,0.020000000000010232,0.165744
Buy,193.6,8124.398571137685,8423846.201918785,9996729.76529104,0.07183768323971315,-0.2575816832397234,0.020000000000010232,0.165744
Buy,193.6,8197.544549266833,8409207.730497077,9996252.355235135,0.0439914170602461,-0.22852141706025633,0.020000000000010232,0.16453
Buy,193.6,8381.406386883096,8374630.666231533,9997270.9427321,0.06719799953564982,-0.2538949995356601,0.020000000000010232,0.166697
Buy,193.6,8565.522351805701,8337698.411913014,9995983.539222598,0.08031697153504797,-0.26701397153505824,0.020000000000010232,0.166697
Buy,193.6,8674.404442014607,8315602.669928526,9994967.369902553,0.025398456481766182,-0.20972745648177643,0.020000000000010232,0.164329
Buy,193.6,8740.497706111331,8302510.341611159,9994670.697514312,0.2687919981425993,-0.4530499981426095,0.020000000000010232,0.164258
Buy,193.55,8918.375987923628,8265439.589064617,9991591.261527235,0.0439914170602461,-0.2312274170602279,0.01999999999998181,0.167236
Buy,193.55,9002.913172361064,8249402.839209905,9991916.68372039,0.08031697153504797,-0.26755297153502977,0.01999999999998181,0.167236
Buy,193.55,9062.154844234927,8237647.197550335,9991627.267652005,0.025398456481766182,-0.212634456481748,0.01999999999998181,0.167236
